sector_etf,stock,sector_name,r,p,n_days,significant
SOXX,NVDA,Semiconductor,0.004,0.972,64,No
SOXX,INTC,Semiconductor,0.012,0.9306,52,No
SOXX,AMD,Semiconductor,-0.164,0.2934,43,No
BOTZ,NVDA,AI/Robotics,0.087,0.6467,30,No
DRIV,TSLA,EV,-0.038,0.783,56,No
SPY,NVDA,S&P500,-0.204,0.0878,71,No
SPY,AAPL,S&P500,0.02,0.8699,70,No
SPY,MSFT,S&P500,0.218,0.0704,70,No
SPY,META,S&P500,-0.146,0.2029,78,No
SPY,TSLA,S&P500,-0.038,0.7574,69,No
SPY,AMZN,S&P500,-0.096,0.4167,73,No
SPY,GOOGL,S&P500,-0.01,0.9333,66,No
SPY,INTC,S&P500,-0.042,0.7373,65,No
SPY,AMD,S&P500,0.015,0.916,55,No
