ticker,regime,r,p,n
AAPL,low_vol,-0.079,0.1711,304
AAPL,high_vol,-0.037,0.5134,314
AMD,low_vol,-0.051,0.5404,144
AMD,high_vol,0.036,0.6498,160
AMZN,low_vol,0.16,0.0234,201
AMZN,high_vol,0.115,0.0985,208
BOTZ,low_vol,0.359,0.1314,19
BOTZ,high_vol,-0.043,0.8588,20
DRIV,low_vol,-0.022,0.863,62
DRIV,high_vol,-0.111,0.367,68
GOOGL,low_vol,-0.086,0.2157,208
GOOGL,high_vol,0.037,0.5875,220
INTC,low_vol,0.094,0.2693,141
INTC,high_vol,0.202,0.0132,150
META,low_vol,-0.117,0.019,404
META,high_vol,-0.032,0.4947,471
MSFT,low_vol,0.05,0.4182,266
MSFT,high_vol,-0.022,0.7148,283
NVDA,low_vol,0.025,0.6107,424
NVDA,high_vol,-0.014,0.7743,439
SKYY,low_vol,0.175,0.0946,92
SKYY,high_vol,0.09,0.3592,106
SOXX,low_vol,0.249,0.0032,138
SOXX,high_vol,-0.151,0.0728,142
SPY,low_vol,0.046,0.441,287
SPY,high_vol,0.024,0.6638,320
TLT,low_vol,-0.076,0.3708,142
TLT,high_vol,0.059,0.4853,142
TSLA,low_vol,0.065,0.364,195
TSLA,high_vol,0.1,0.1568,203
USO,low_vol,-0.089,0.2722,153
USO,high_vol,0.093,0.2399,162
UUP,low_vol,-0.071,0.5216,84
UUP,high_vol,-0.068,0.5372,84
XLF,low_vol,0.194,0.0408,111
XLF,high_vol,-0.054,0.5637,116
XLK,low_vol,0.125,0.6567,15
XLK,high_vol,-0.222,0.4273,15
XLV,low_vol,-0.045,0.6128,130
XLV,high_vol,-0.062,0.4491,151
