ticker,strong_down_pct,down_pct,flat_pct,up_pct,strong_up_pct,flat_flag
AAPL,7.9,22.9,32.0,25.9,11.3,OK
AMD,7.2,18.4,40.8,16.4,17.1,OK
AMZN,10.8,16.4,39.4,24.0,9.5,OK
BOTZ,,28.2,35.9,23.1,12.8,OK
DRIV,6.2,22.3,35.4,26.9,9.2,OK
GOOGL,2.1,25.0,46.5,14.8,11.6,OK
INTC,1.0,26.8,41.2,20.3,10.7,OK
META,5.6,18.6,54.3,15.7,5.7,OK
MSFT,7.4,18.2,42.3,22.8,9.4,OK
NVDA,3.6,18.2,52.7,19.2,6.3,OK
SKYY,4.0,11.6,39.9,27.3,17.2,OK
SOXX,5.7,15.4,34.3,28.6,16.1,OK
SPY,5.1,10.7,55.2,23.4,5.6,OK
TLT,10.9,19.4,32.0,30.6,7.0,OK
TSLA,10.5,20.8,45.6,13.0,10.0,OK
USO,9.8,17.8,25.4,38.1,8.9,OK
UUP,3.6,15.5,41.1,35.7,4.2,OK
XLF,4.8,17.2,36.6,33.0,8.4,OK
XLK,3.3,10.0,30.0,43.3,13.3,OK
XLV,0.7,40.1,39.4,13.5,6.4,OK
