ticker,count,mean,std,min,max
AAPL,681,3.52,0.89,2.0,5.0
AMD,325,4.05,0.84,2.0,5.0
AMZN,448,3.75,0.93,2.0,5.0
BOTZ,49,3.18,0.6,2.0,4.0
DRIV,240,3.66,0.84,2.0,5.0
GOOGL,483,3.61,0.93,2.0,5.0
INTC,325,3.95,0.92,2.0,5.0
META,1026,3.25,0.96,1.0,5.0
MSFT,598,3.4,0.83,2.0,5.0
NVDA,928,3.72,0.95,2.0,5.0
SKYY,240,3.41,0.61,2.0,5.0
SOXX,374,3.74,0.79,2.0,5.0
SPY,845,3.07,0.56,2.0,5.0
TLT,371,3.16,0.79,2.0,5.0
TSLA,442,3.21,0.86,2.0,5.0
USO,458,3.56,1.09,2.0,5.0
UUP,201,2.87,0.75,2.0,5.0
XLF,307,3.14,0.67,2.0,5.0
XLK,37,3.03,0.6,2.0,4.0
XLV,395,3.36,0.64,2.0,5.0
