ticker,mismatch_rate,mismatch_pct,flag
DRIV,0.24615384615384617,24.6,OK
AMD,0.23026315789473684,23.0,OK
AAPL,0.21578099838969403,21.6,OK
AMZN,0.21271393643031786,21.3,OK
GOOGL,0.20601851851851852,20.6,OK
XLV,0.19858156028368795,19.9,OK
META,0.19052987598647125,19.1,OK
USO,0.19047619047619047,19.0,OK
INTC,0.18556701030927836,18.6,OK
TLT,0.18309859154929578,18.3,OK
MSFT,0.17985611510791366,18.0,OK
UUP,0.17261904761904762,17.3,OK
NVDA,0.17149478563151796,17.1,OK
SOXX,0.16071428571428573,16.1,OK
TSLA,0.15789473684210525,15.8,OK
XLF,0.1013215859030837,10.1,OK
XLK,0.1,10.0,OK
SKYY,0.09090909090909091,9.1,OK
BOTZ,0.07692307692307693,7.7,OK
SPY,0.07084019769357495,7.1,OK
