sector_etf,stock,sector_name,r,p,n_days,significant
SOXX,NVDA,Semiconductor,0.057,0.6848,54,No
SOXX,INTC,Semiconductor,0.082,0.6031,43,No
SOXX,AMD,Semiconductor,-0.208,0.2541,32,No
BOTZ,NVDA,AI/Robotics,-0.034,0.8676,26,No
DRIV,TSLA,EV,-0.025,0.8649,50,No
SPY,NVDA,S&P500,-0.197,0.1357,59,No
SPY,AAPL,S&P500,0.017,0.9015,58,No
SPY,MSFT,S&P500,0.331,0.0111,58,Yes
SPY,META,S&P500,-0.033,0.799,62,No
SPY,TSLA,S&P500,0.079,0.556,58,No
SPY,AMZN,S&P500,-0.107,0.4146,60,No
SPY,GOOGL,S&P500,0.073,0.5959,55,No
SPY,INTC,S&P500,-0.035,0.8074,52,No
SPY,AMD,S&P500,-0.024,0.8832,40,No
