ticker,regime,r,p,n
AAPL,low_vol,-0.071,0.2778,236
AAPL,high_vol,-0.067,0.2843,259
AMD,low_vol,-0.095,0.3512,99
AMD,high_vol,0.017,0.8624,110
AMZN,low_vol,0.174,0.0285,159
AMZN,high_vol,-0.194,0.0126,165
BOTZ,low_vol,0.404,0.1082,17
BOTZ,high_vol,-0.142,0.5741,18
DRIV,low_vol,-0.066,0.6441,51
DRIV,high_vol,-0.159,0.2552,53
GOOGL,low_vol,-0.075,0.3278,172
GOOGL,high_vol,0.035,0.6439,181
INTC,low_vol,0.088,0.3386,120
INTC,high_vol,0.137,0.1339,121
META,low_vol,-0.102,0.0536,360
META,high_vol,-0.013,0.8014,379
MSFT,low_vol,0.042,0.5264,230
MSFT,high_vol,-0.035,0.5972,231
NVDA,low_vol,0.013,0.8114,351
NVDA,high_vol,0.009,0.8593,354
SKYY,low_vol,0.176,0.1331,74
SKYY,high_vol,0.031,0.7938,74
SOXX,low_vol,0.281,0.002,118
SOXX,high_vol,-0.123,0.1643,130
SPY,low_vol,0.054,0.411,237
SPY,high_vol,0.037,0.5569,254
TLT,low_vol,-0.059,0.5335,114
TLT,high_vol,0.099,0.278,121
TSLA,low_vol,-0.009,0.9128,153
TSLA,high_vol,0.123,0.127,156
USO,low_vol,0.025,0.7777,130
USO,high_vol,0.115,0.1909,131
UUP,low_vol,-0.068,0.5971,63
UUP,high_vol,-0.071,0.5796,63
XLF,low_vol,0.176,0.0929,92
XLF,high_vol,-0.075,0.4686,95
XLK,low_vol,0.12,0.6966,13
XLK,high_vol,-0.227,0.4349,14
XLV,low_vol,-0.02,0.8396,102
XLV,high_vol,-0.145,0.1146,119
