ticker,category,total_articles,unique_days,avg_sentiment,avg_trailing_vol,flat_pct,strong_down_pct,strong_up_pct,bucket_entropy,imbalance_flag,readiness
AAPL,company,498,64,3.55,1.4,29.3,7.6,14.1,0.94,OK,READY 200+
AMD,company,209,43,4.06,5.23,45.5,3.3,20.1,0.85,OK,READY 200+
AMZN,company,324,66,3.75,1.85,41.0,12.0,7.7,0.89,OK,READY 200+
BOTZ,sector/macro,35,26,3.17,1.87,31.4,0.0,11.4,0.82,OK,LOW <50
DRIV,sector/macro,104,46,3.62,2.1,36.5,3.8,9.6,0.87,OK,MED 50-200
GOOGL,company,357,59,3.6,2.2,47.1,2.0,11.2,0.81,OK,READY 200+
INTC,company,241,55,3.97,5.7,34.4,0.0,12.9,0.83,OK,READY 200+
META,company,751,70,3.23,2.67,58.5,5.7,4.7,0.74,OK,READY 200+
MSFT,company,468,63,3.43,1.84,43.6,8.8,10.0,0.89,OK,READY 200+
NVDA,company,705,64,3.73,2.49,50.8,3.3,5.2,0.78,OK,READY 200+
SKYY,sector/macro,148,49,3.43,2.29,39.2,5.4,14.9,0.89,OK,MED 50-200
SOXX,sector/macro,248,61,3.7,2.83,31.5,6.5,17.3,0.92,OK,READY 200+
SPY,sector/macro,491,72,3.04,0.9,54.6,5.9,5.9,0.74,OK,READY 200+
TLT,sector/macro,235,50,3.16,0.59,29.8,12.8,8.5,0.92,OK,READY 200+
TSLA,company,310,63,3.25,2.74,46.1,8.1,11.9,0.87,OK,READY 200+
USO,sector/macro,261,54,3.61,4.46,25.3,9.2,5.0,0.86,OK,READY 200+
UUP,sector/macro,126,39,2.8,0.36,35.7,0.8,5.6,0.78,OK,MED 50-200
XLF,sector/macro,187,56,3.06,0.98,37.4,5.9,10.2,0.9,OK,MED 50-200
XLK,sector/macro,27,19,3.11,1.6,22.2,3.7,14.8,0.83,OK,LOW <50
XLV,sector/macro,222,58,3.32,0.99,37.4,0.9,6.8,0.78,OK,READY 200+
