date,count
2026-03-14,39
2026-03-17,107
2026-03-19,112
2026-03-20,116
2026-03-21,109
2026-03-23,67
2026-03-24,90
2026-03-26,176
2026-03-27,114
2026-03-28,111
2026-03-31,164
2026-04-01,192
2026-04-02,100
2026-04-03,87
2026-04-07,140
2026-04-08,96
2026-04-09,83
2026-04-10,104
2026-04-11,85
2026-04-14,96
2026-04-15,186
2026-04-17,199
2026-04-20,157
2026-04-21,204
2026-04-22,220
2026-04-23,159
2026-04-30,256
2026-05-02,27
2026-05-03,357
2026-05-07,217
2026-05-08,48
2026-05-09,48
2026-05-10,57
2026-05-11,53
2026-05-12,84
2026-05-13,78
2026-05-14,109
2026-05-15,79
2026-05-16,64
2026-05-17,41
2026-05-18,70
2026-05-19,100
2026-05-20,87
2026-05-21,82
2026-05-22,61
2026-05-23,33
2026-05-24,46
2026-05-25,71
2026-05-26,78
2026-05-27,64
2026-05-28,92
2026-05-29,65
2026-05-30,57
2026-05-31,32
2026-06-01,40
2026-06-02,20
2026-06-03,116
2026-06-04,83
2026-06-05,43
2026-06-06,36
2026-06-07,51
2026-06-08,71
2026-06-09,11
2026-06-10,78
2026-06-11,79
2026-06-12,49
2026-06-13,26
2026-06-14,24
2026-06-15,60
2026-06-16,46
2026-06-17,39
2026-06-18,54
2026-06-19,23
2026-06-20,28
2026-06-21,4
