ticker,strong_down_pct,down_pct,flat_pct,up_pct,strong_up_pct,flat_flag
AAPL,7.6,24.7,29.3,24.3,14.1,OK
AMD,3.3,12.9,45.5,18.2,20.1,OK
AMZN,12.0,13.6,41.0,25.6,7.7,OK
BOTZ,,31.4,31.4,25.7,11.4,OK
DRIV,3.8,21.2,36.5,28.8,9.6,OK
GOOGL,2.0,24.6,47.1,15.1,11.2,OK
INTC,,28.2,34.4,24.5,12.9,OK
META,5.7,16.5,58.5,14.6,4.7,OK
MSFT,8.8,16.7,43.6,20.9,10.0,OK
NVDA,3.3,18.7,50.8,22.0,5.2,OK
SKYY,5.4,12.8,39.2,27.7,14.9,OK
SOXX,6.5,12.9,31.5,31.9,17.3,OK
SPY,5.9,6.1,54.6,27.5,5.9,OK
TLT,12.8,15.3,29.8,33.6,8.5,OK
TSLA,8.1,21.0,46.1,12.9,11.9,OK
USO,9.2,17.6,25.3,42.9,5.0,OK
UUP,0.8,20.6,35.7,37.3,5.6,OK
XLF,5.9,20.3,37.4,26.2,10.2,OK
XLK,3.7,11.1,22.2,48.1,14.8,OK
XLV,0.9,38.7,37.4,16.2,6.8,OK
