ticker,03-14,03-17,03-19,03-20,03-21,03-23,03-24,03-26,03-27,03-28,03-31,04-01,04-02,04-03,04-07,04-08,04-09,04-10,04-11,04-14,04-15,04-17,04-20,04-21,04-22,04-23,04-30,05-02,05-03,05-07,05-08,05-09,05-10,05-11,05-12,05-13,05-14,05-15,05-16,05-17,05-18,05-19,05-20,05-21,05-22,05-23,05-24,05-25,05-26,05-27,05-28,05-29,05-30,05-31,06-01,06-02,06-03,06-04,06-05,06-06,06-07,06-08,06-09,06-10,06-11,06-12,06-13,06-14,06-15,06-16,06-17,06-18,06-19,06-20,06-21
AAPL,10,11,6,9,8,10,6,20,14,9,9,23,19,7,10,12,8,6,7,14,13,8,20,19,18,7,17,0,34,12,5,5,9,0,3,0,3,6,6,0,8,6,2,4,4,4,5,0,3,5,5,3,4,0,4,6,3,3,0,0,0,15,0,8,6,4,0,6,3,0,0,0,0,0,0
AMD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,6,8,2,12,0,13,32,8,6,3,2,6,4,6,2,0,2,2,2,5,5,6,0,0,1,5,7,5,3,1,4,0,0,3,7,2,5,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0
AMZN,2,7,10,4,2,3,3,11,9,6,1,4,1,5,3,4,3,12,7,5,20,8,8,15,15,3,9,0,10,9,0,4,1,2,8,5,4,8,6,2,4,3,6,2,2,0,0,3,1,3,0,2,1,3,0,8,3,7,6,4,1,0,0,5,3,9,0,6,6,4,0,0,5,0,0
BOTZ,0,1,0,1,2,2,0,1,2,1,0,0,1,1,2,1,0,2,0,0,0,3,1,1,1,0,2,0,1,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DRIV,4,3,9,5,4,2,3,8,3,6,11,7,1,3,9,4,9,7,7,8,3,11,3,2,2,7,5,0,4,5,0,1,0,1,1,0,0,2,1,1,2,0,0,0,2,0,3,2,1,1,3,0,0,0,1,0,1,2,2,0,0,0,0,2,1,0,0,1,0,2,0,0,0,1,0
GOOGL,2,5,4,7,6,5,3,13,8,9,7,7,0,9,11,12,7,4,3,9,14,15,7,11,20,7,0,0,15,18,8,2,4,4,6,2,1,8,5,0,8,16,0,2,3,0,4,5,3,0,7,0,0,0,2,0,10,11,0,8,0,0,0,2,3,7,0,0,5,2,0,0,0,1,0
INTC,0,4,1,0,2,0,0,10,3,0,2,5,7,3,7,1,0,5,0,2,1,6,4,14,11,11,15,0,23,12,0,3,0,0,1,5,5,2,8,3,3,2,3,3,0,1,3,1,3,2,8,0,6,0,0,0,3,0,4,0,0,5,0,0,4,3,5,0,0,4,0,7,4,0,0
META,13,15,17,14,7,3,13,24,19,10,35,42,11,3,18,7,13,14,13,9,23,26,17,20,21,27,41,0,57,9,0,8,7,6,5,3,8,6,12,2,0,8,18,6,4,6,3,3,6,9,15,3,11,0,10,3,13,12,0,0,7,6,11,13,5,0,0,0,0,0,8,8,3,6,0
MSFT,0,8,0,10,8,4,6,13,6,9,13,11,9,11,12,5,10,8,6,3,12,15,10,13,15,22,13,0,22,14,0,0,5,2,13,5,13,0,0,3,2,11,0,9,7,7,1,6,1,5,6,8,7,5,11,0,9,13,2,0,8,0,0,3,9,0,0,0,3,0,5,3,0,2,0
NVDA,1,32,25,16,22,6,9,20,8,10,17,24,9,11,12,16,9,10,10,10,10,19,13,7,5,8,13,8,20,8,0,0,0,14,3,18,23,1,0,9,17,16,18,20,19,9,5,13,11,0,6,14,0,0,0,0,15,0,0,6,10,11,0,6,11,10,0,6,10,6,9,12,0,0,0
SKYY,1,0,3,0,1,0,0,2,3,0,0,1,1,2,2,0,0,0,0,0,9,6,3,6,5,2,13,0,15,5,4,3,3,2,1,8,2,2,2,0,2,3,4,3,2,0,1,1,2,1,3,4,1,4,0,0,5,2,4,0,2,0,0,5,0,0,3,0,3,2,1,0,0,1,0
SOXX,3,3,4,11,8,2,6,6,5,12,10,14,6,1,9,4,5,5,5,6,10,11,9,11,10,8,7,3,17,9,5,0,1,2,2,5,3,0,9,2,2,6,2,2,5,0,4,4,4,0,3,6,0,0,0,0,8,1,3,0,4,0,0,2,0,0,0,2,6,2,0,3,0,4,1
