ticker,mismatch_rate,mismatch_pct,flag
AAPL,0.23694779116465864,23.7,OK
DRIV,0.22115384615384615,22.1,OK
INTC,0.2074688796680498,20.7,OK
GOOGL,0.20448179271708683,20.4,OK
AMZN,0.2037037037037037,20.4,OK
UUP,0.1984126984126984,19.8,OK
XLV,0.19369369369369369,19.4,OK
MSFT,0.18803418803418803,18.8,OK
TLT,0.17872340425531916,17.9,OK
NVDA,0.17163120567375886,17.2,OK
META,0.16910785619174434,16.9,OK
USO,0.1685823754789272,16.9,OK
TSLA,0.16129032258064516,16.1,OK
AMD,0.14354066985645933,14.4,OK
SOXX,0.14112903225806453,14.1,OK
XLK,0.1111111111111111,11.1,OK
XLF,0.10695187165775401,10.7,OK
SKYY,0.10135135135135136,10.1,OK
BOTZ,0.08571428571428572,8.6,OK
SPY,0.06517311608961303,6.5,OK
