ticker,category,total_articles,unique_days,avg_sentiment,flat_pct,strong_down_pct,strong_up_pct,imbalance_flag,readiness
AAPL,company,133,10,3.11,100.0,0.0,0.0,HIGH FLAT,MED 50-200
AMZN,company,101,10,3.47,55.4,0.0,0.0,OK,MED 50-200
BOTZ,sector/macro,43,10,2.77,90.7,0.0,0.0,HIGH FLAT,LOW <50
DRIV,sector/macro,45,10,2.78,75.6,0.0,0.0,HIGH FLAT,LOW <50
GOOGL,company,131,10,2.82,90.1,0.0,0.0,HIGH FLAT,MED 50-200
INTC,company,79,10,3.25,51.9,11.4,7.6,OK,MED 50-200
META,company,160,10,2.58,44.4,0.0,0.0,OK,MED 50-200
MSFT,company,104,8,3.16,91.3,0.0,0.0,HIGH FLAT,MED 50-200
NVDA,company,255,10,3.29,87.5,0.0,0.0,HIGH FLAT,READY 200+
SKYY,sector/macro,58,10,3.55,51.7,0.0,0.0,OK,MED 50-200
SOXX,sector/macro,120,10,3.74,75.0,0.0,0.0,HIGH FLAT,MED 50-200
SPY,sector/macro,184,9,2.33,100.0,0.0,0.0,HIGH FLAT,MED 50-200
TLT,sector/macro,22,6,2.73,100.0,0.0,0.0,HIGH FLAT,LOW <50
TSLA,company,84,10,2.95,76.2,0.0,0.0,HIGH FLAT,MED 50-200
USO,sector/macro,70,9,2.09,7.1,17.1,0.0,OK,MED 50-200
UUP,sector/macro,23,7,2.35,100.0,0.0,0.0,HIGH FLAT,LOW <50
XLF,sector/macro,79,10,2.95,100.0,0.0,0.0,HIGH FLAT,MED 50-200
XLK,sector/macro,1,1,2.0,0.0,0.0,0.0,OK,LOW <50
XLV,sector/macro,70,10,4.2,100.0,0.0,0.0,HIGH FLAT,MED 50-200
