ticker,count,mean,std,min,max
AAPL,146,3.1,1.04,1.0,5.0
AMZN,112,3.5,1.18,1.0,5.0
BOTZ,48,2.94,1.26,1.0,5.0
DRIV,51,2.82,1.01,2.0,5.0
GOOGL,145,2.83,1.0,1.0,5.0
INTC,88,3.25,1.13,1.0,5.0
META,191,2.58,1.15,1.0,5.0
MSFT,122,3.24,1.08,1.0,5.0
NVDA,280,3.32,1.2,1.0,5.0
SKYY,64,3.56,1.28,1.0,5.0
SOXX,132,3.72,1.38,1.0,5.0
SPY,210,2.28,0.88,1.0,5.0
TLT,30,2.6,1.25,1.0,5.0
TSLA,97,2.9,1.02,1.0,5.0
USO,84,2.0,0.74,1.0,4.0
UUP,27,2.26,0.94,1.0,4.0
XLF,83,2.92,1.1,1.0,5.0
XLK,1,2.0,,2.0,2.0
XLV,79,4.18,1.33,1.0,5.0
