ticker,03-14,03-17,03-19,03-20,03-21,03-23,03-24,03-26,03-27,03-28,03-31
AAPL,14,14,12,15,13,14,9,26,18,11,14
AMZN,7,14,14,5,7,6,6,14,16,15,11
BOTZ,4,8,6,5,5,2,2,5,4,9,5
DRIV,5,3,11,7,9,6,7,13,4,9,14
GOOGL,11,12,25,21,31,50,21,18,18,24,19
INTC,6,9,9,6,2,3,6,26,8,6,9
META,21,19,22,21,14,5,18,25,19,12,40
MSFT,0,11,0,16,14,7,12,23,16,20,20
NVDA,10,39,37,34,34,16,28,35,20,23,28
SKYY,4,5,12,5,4,1,6,21,6,3,6
SOXX,5,5,8,20,35,6,11,11,9,20,16
SPY,0,16,34,32,33,14,33,33,24,13,33
TLT,0,0,3,0,1,1,8,8,2,4,14
TSLA,7,8,6,3,15,10,7,14,9,13,13
USO,0,8,12,11,9,12,10,12,14,18,22
UUP,0,4,1,1,0,1,5,11,0,2,4
XLF,3,9,12,15,10,10,11,14,10,10,7
XLK,0,0,1,0,0,0,0,0,0,0,0
XLV,2,4,4,7,13,4,22,21,3,7,11
