ticker,mismatch_rate,mismatch_pct,flag
USO,0.6285714285714286,62.9,HIGH
SKYY,0.3448275862068966,34.5,OK
META,0.28125,28.1,OK
INTC,0.25316455696202533,25.3,OK
AMZN,0.13861386138613863,13.9,OK
SOXX,0.11666666666666667,11.7,OK
TSLA,0.10714285714285714,10.7,OK
DRIV,0.08888888888888889,8.9,OK
MSFT,0.057692307692307696,5.8,OK
GOOGL,0.03816793893129771,3.8,OK
NVDA,0.0196078431372549,2.0,OK
BOTZ,0.0,0.0,OK
AAPL,0.0,0.0,OK
TLT,0.0,0.0,OK
SPY,0.0,0.0,OK
UUP,0.0,0.0,OK
XLF,0.0,0.0,OK
XLK,0.0,0.0,OK
XLV,0.0,0.0,OK
